--- DESC ---
ID   ShortName
DE   Family description
AU   Bateman A;0000-0002-6982-4660
SE   ECOD:A0L963_TED02/Iterate/Iterate/Iterate/Iterate
GA   27.00 27.00;
TC   28.30 28.30;
NC   25.60 22.50;
BM   hmmbuild  -o /dev/null HMM SEED
SM   hmmsearch --cpu 8 -Z 90746521 -E 1000 HMM pfamseq
TP   Family

--- End DESC ---

--- species summary ---
The species distribution showing number of matches at each taxonomic rank.

Number  Rank    Taxon
4	6	Terasakiella.
4	5	Terasakiellaceae
3	5	Thalassobaculaceae
3	5	Methylobacteriaceae
9	4	Hyphomicrobiales
8	4	Rhodospirillales
4	3	Gammaproteobacteria
19	3	Alphaproteobacteria
25	2	Pseudomonadota
25	1	Pseudomonadati
25	0	Bacteria
Total of 25 proteins found

--- End species ---

--- sp.seq_info (SwissProt entries) ---
SwissProt/UniProt annotations for sequences in this family.


--- End sp.seq_info ---

--- Domain architectures ---
Example domain architectures. Indented lines show domain regions in the protein.
Lines starting with 'Iterate' or not starting with PFXXXXX are the domain we are considering.

A0A1C3RLU6	UNCHARACTERIZED PROTEIN {    116.7    2.3e-30   1   1.3   0.0
	Iterate                   	    76	   173	   116.0

A0A269PRY9	UNCHARACTERIZED PROTEIN {    113.7    1.9e-29   1   1.8   0.5
	Iterate                   	    80	   180	   112.3

A0A7Y6YYV3	UNCHARACTERIZED PROTEIN {    108.4    8.8e-28   1   1.3   0.1
	Iterate                   	    78	   174	   107.7

A0A7Y7D409	UNCHARACTERIZED PROTEIN {    111.1    1.3e-28   1   1.3   0.0
	Iterate                   	    78	   175	   110.5

A0A917BYE0	TRANSCRIPTION ELONGATION     119.4    3.3e-31   1   1.3   0.1
	Iterate                   	    76	   173	   118.7


--- End arch ---

--- UniProt Bibliography ---
Potentially relevant papers to include. Use Pubmed connector to add highly relevant papers to DESC.

# No bibliography entries found

--- End UniProt Bibliography ---

--- TED ---
TED domain architectures. The percentage value at the end is the percentage overlap
with the domain/family of interest.

Protein_Accession	TED_Domains	Domain_Count	Domain_IDs	Domain_Ranges	Overlap_with_Pfam
A0A0K0XV01.1	AF-A0A0K0XV01-F1-model_v4_TED01:4-72	1	AF-A0A0K0XV01-F1-model_v4_TED01	4-72	0
A0A0K0XV01.1	AF-A0A0K0XV01-F1-model_v4_TED02:77-178	1	AF-A0A0K0XV01-F1-model_v4_TED02	77-178	99.0%
A0A126NY02.1	AF-A0A126NY02-F1-model_v4_TED01:43-87	1	AF-A0A126NY02-F1-model_v4_TED01	43-87	2.0%
A0A126NY02.1	AF-A0A126NY02-F1-model_v4_TED02:98-184	1	AF-A0A126NY02-F1-model_v4_TED02	98-184	87.9%
A0A1C3RHP9.1	AF-A0A1C3RHP9-F1-model_v4_TED01:4-75	1	AF-A0A1C3RHP9-F1-model_v4_TED01	4-75	0
A0A1C3RHP9.1	AF-A0A1C3RHP9-F1-model_v4_TED02:78-174	1	AF-A0A1C3RHP9-F1-model_v4_TED02	78-174	100.0%
A0A1C3RLU6.1	AF-A0A1C3RLU6-F1-model_v4_TED01:2-73	1	AF-A0A1C3RLU6-F1-model_v4_TED01	2-73	0
A0A1C3RLU6.1	AF-A0A1C3RLU6-F1-model_v4_TED02:76-173	1	AF-A0A1C3RLU6-F1-model_v4_TED02	76-173	100.0%
A0A1I1SFX9.1	AF-A0A1I1SFX9-F1-model_v4_TED01:79-180	1	AF-A0A1I1SFX9-F1-model_v4_TED01	79-180	100.0%
A0A269PRY9.1	AF-A0A269PRY9-F1-model_v4_TED01:35-77	1	AF-A0A269PRY9-F1-model_v4_TED01	35-77	0
A0A269PRY9.1	AF-A0A269PRY9-F1-model_v4_TED02:80-180	1	AF-A0A269PRY9-F1-model_v4_TED02	80-180	100.0%
A0A2K9LLC5.1	AF-A0A2K9LLC5-F1-model_v4_TED01:14-76	1	AF-A0A2K9LLC5-F1-model_v4_TED01	14-76	0
A0A2K9LLC5.1	AF-A0A2K9LLC5-F1-model_v4_TED02:79-181	1	AF-A0A2K9LLC5-F1-model_v4_TED02	79-181	100.0%
