--- DESC ---
ID   ShortName
DE   Family description
AU   Bateman A;0000-0002-6982-4660
SE   ECOD:A0LAQ5_TED01/Iterate/Iterate
GA   27.00 27.00;
TC   27.10 27.10;
NC   26.70 26.70;
BM   hmmbuild  -o /dev/null HMM SEED
SM   hmmsearch -Z 90746521 --cpu 8 -E 1000 HMM pfamseq
TP   Family

--- End DESC ---

--- species summary ---
The species distribution showing number of matches at each taxonomic rank.

Number  Rank    Taxon
30	6	Streptomyces.
20	6	Micromonospora.
53	5	Streptomycetaceae
33	5	Pseudonocardiaceae
33	5	Micromonosporaceae
29	5	Streptosporangiaceae
53	4	Kitasatosporales
33	4	Pseudonocardiales
33	4	Micromonosporales
32	4	Streptosporangiales
165	3	Actinomycetes
167	2	Actinomycetota
169	1	Bacillati
175	0	Bacteria
Total of 175 proteins found

--- End species ---

--- sp.seq_info (SwissProt entries) ---
SwissProt/UniProt annotations for sequences in this family.


--- End sp.seq_info ---

--- Domain architectures ---
Example domain architectures. Indented lines show domain regions in the protein.
Lines starting with 'Iterate' or not starting with PFXXXXX are the domain we are considering.

A0A8T4FGM5	INTEGRASE CORE DOMAIN-CON     97.4    1.5e-24   2   3.8   5.7
	Iterate                   	    98	   151	    61.1
	Iterate                   	    23	    85	    34.8
	PF13683	rve_3           	   332	   398	    48.3

A0LAQ5	INTEGRASE, CATALYTIC REGION {     94.7    9.9e-24   1   1.5   6.8
	Iterate                   	    18	    72	    93.8
	PF13683	rve_3           	   245	   310	    41.9

A0LAX7	INTEGRASE, CATALYTIC REGION {     95.4    6.2e-24   1   1.5   7.8
	Iterate                   	    18	    72	    94.4

A0LBD2	INTEGRASE, CATALYTIC REGION {     92.8    3.9e-23   1   1.5   5.9
	Iterate                   	    18	    72	    91.8
	PF13683	rve_3           	   245	   310	    38.6

A0LBD6	UNCHARACTERIZED PROTEIN {ECO:     92.8      4e-23   1   2.3   3.8
	Iterate                   	    18	    72	    92.8


--- End arch ---

--- UniProt Bibliography ---
Potentially relevant papers to include. Use Pubmed connector to add highly relevant papers to DESC.

# No bibliography entries found

--- End UniProt Bibliography ---

--- TED ---
TED domain architectures. The percentage value at the end is the percentage overlap
with the domain/family of interest.

Protein_Accession	TED_Domains	Domain_Count	Domain_IDs	Domain_Ranges	Overlap_with_Pfam
A0A0N9IAU8.1	AF-A0A0N9IAU8-F1-model_v4_TED01:2-94	1	AF-A0A0N9IAU8-F1-model_v4_TED01	2-94	100.0%
A0A0N9IAU8.1	AF-A0A0N9IAU8-F1-model_v4_TED03:174-330	1	AF-A0A0N9IAU8-F1-model_v4_TED03	174-330	0
A0A0N9IAU8.1	AF-A0A0N9IAU8-F1-model_v4_TED02:110-154	1	AF-A0A0N9IAU8-F1-model_v4_TED02	110-154	0
A0A0W0VJD8.1	AF-A0A0W0VJD8-F1-model_v4_TED01:2-100	1	AF-A0A0W0VJD8-F1-model_v4_TED01	2-100	100.0%
A0A0W0VJD8.1	AF-A0A0W0VJD8-F1-model_v4_TED02:115-173	1	AF-A0A0W0VJD8-F1-model_v4_TED02	115-173	0
A0A101J667.1	AF-A0A101J667-F1-model_v4_TED03:173-309	1	AF-A0A101J667-F1-model_v4_TED03	173-309	0
A0A101J667.1	AF-A0A101J667-F1-model_v4_TED01:26-93	1	AF-A0A101J667-F1-model_v4_TED01	26-93	94.6%
A0A101J667.1	AF-A0A101J667-F1-model_v4_TED02:111-155	1	AF-A0A101J667-F1-model_v4_TED02	111-155	0
A0A101J6Z7.1	AF-A0A101J6Z7-F1-model_v4_TED01:2-95	1	AF-A0A101J6Z7-F1-model_v4_TED01	2-95	100.0%
A0A101J6Z7.1	AF-A0A101J6Z7-F1-model_v4_TED03:171-323	1	AF-A0A101J6Z7-F1-model_v4_TED03	171-323	0
A0A101J6Z7.1	AF-A0A101J6Z7-F1-model_v4_TED02:113-157	1	AF-A0A101J6Z7-F1-model_v4_TED02	113-157	0
A0A178X6N9.1	AF-A0A178X6N9-F1-model_v4_TED01:2-60	1	AF-A0A178X6N9-F1-model_v4_TED01	2-60	79.6%
A0A178X827.1	AF-A0A178X827-F1-model_v4_TED01:20-88	1	AF-A0A178X827-F1-model_v4_TED01	20-88	100.0%
A0A178X827.1	AF-A0A178X827-F1-model_v4_TED03:170-327	1	AF-A0A178X827-F1-model_v4_TED03	170-327	0
A0A178X827.1	AF-A0A178X827-F1-model_v4_TED02:104-148	1	AF-A0A178X827-F1-model_v4_TED02	104-148	0
